[검색조건],,,
지점명 : 서울, 기간 : 20230101 ~ 20230430,,
일자,기온(°C),풍속(km/h),체감온도(°C)
2023-01-01,-2.4,18.7,-8.1
2023-01-02,-6.7,11.9,-11.9
2023-01-03,-8.8,7.9,-13
2023-01-04,-5.7,7.2,-9.1
2023-01-05,-5.6,9,-9.7
2023-01-06,-4.7,9,-8.6
2023-01-07,0.1,10.4,-3.3
2023-01-08,-3.7,9.4,-7.6
2023-01-09,-1.1,9.4,-4.5
2023-01-10,-3.8,9.7,-7.8
2023-01-11,-2,9.4,-5.5
2023-01-12,-0.3,10.8,-3.9
2023-01-13,5.1,19.1,1.3
2023-01-14,3.9,20.5,-0.4
2023-01-15,-2.9,14.4,-7.9
2023-01-16,-6.8,13.7,-12.5
2023-01-17,-6.8,10.8,-11.7
2023-01-18,-3.9,9,-7.7
2023-01-19,-5.9,9.7,-10.3
2023-01-20,-7.6,7.2,-11.3
2023-01-21,-10.4,9.4,-15.5
2023-01-22,-2.4,17.3,-7.8
2023-01-23,-6.9,16.9,-13.3
2023-01-24,-16.5,25.2,-27.2
2023-01-25,-16.9,13.7,-24.9
2023-01-26,-9,14.8,-15.5
2023-01-27,-7.9,18.7,-15
2023-01-28,-11.2,9.4,-16.5
2023-01-29,-7.9,10.8,-13
2023-01-30,-4.4,7.2,-7.6
2023-01-31,-3.2,11.2,-7.5
2023-02-01,-1.9,16.6,-7.1
2023-02-02,-4.4,13,-9.4
2023-02-03,-3.5,10.4,-7.6
2023-02-04,-4.7,9.4,-8.7
2023-02-05,-3.3,9,-7
2023-02-06,-1.4,9,-4.7
2023-02-07,-0.2,7.9,-2.9
2023-02-08,-1.2,8.6,-4.3
2023-02-09,-2.6,12.6,-7.1
2023-02-10,1.1,7.9,-1.4
2023-02-11,-1.2,9.4,-4.6
2023-02-12,-0.8,9,-4
2023-02-13,2.7,9,0.2
2023-02-14,-2.3,11.5,-6.5
2023-02-15,-1.1,15.8,-5.9
2023-02-16,0,6.1,-2.1
2023-02-17,-1.4,9.7,-4.9
2023-02-18,3,9.4,0.4
2023-02-19,0.3,11.2,-3.3
2023-02-20,-3.4,11.2,-7.7
2023-02-21,-4.3,16.9,-10.1
2023-02-22,-4.4,9,-8.3
2023-02-23,-1.2,7.6,-4
2023-02-24,0.4,13.7,-3.7
2023-02-25,-2.7,12.2,-7.1
2023-02-26,-3.3,7.9,-6.6
2023-02-27,-1.8,8.6,-5
2023-02-28,-0.7,9,-3.9
2023-03-01,3.1,17.3,-1
2023-03-02,-1.3,8.3,-4.4
2023-03-03,-1.8,9.7,-5.4
2023-03-04,3.8,9,1.5
2023-03-05,2.6,7.9,0.3
2023-03-06,2.4,9,-0.2
2023-03-07,6.3,9.4,4.3
2023-03-08,7.5,8.3,6
2023-03-09,8,7.9,6.7
2023-03-10,6.4,10.8,4.2
2023-03-12,1,23,-4.4
2023-03-13,-1.4,17.6,-6.6
2023-03-14,3.5,10.4,0.8
2023-03-15,3.7,13,0.5
2023-03-16,0.6,9,-2.3
2023-03-17,0.8,6.8,-1.4
2023-03-18,2.6,8.6,0.1
2023-03-19,2.5,8.3,0.1
2023-03-20,3.5,8.3,1.3
2023-03-21,5.1,8.3,3.2
2023-03-22,9.3,8.3,8.1
2023-03-24,7.9,13,5.6
2023-03-25,8.3,10.4,6.5
2023-03-26,4.9,14.4,1.7
2023-03-27,3,9.4,0.4
2023-03-28,3,9.7,0.3
2023-03-29,5.4,8.3,3.5
2023-03-30,6.4,6.8,5.1
2023-03-31,7.5,8.3,6
2023-04-01,9.6,9,8.3
2023-04-05,8.7,16.6,6.1
2023-04-06,7.7,11.5,5.6
2023-04-07,4.6,11.2,1.9
2023-04-08,3.1,7.6,1
2023-04-09,3.5,9,1.1
2023-04-10,6.2,7.6,4.6
2023-04-11,9.3,8.6,8.1
2023-04-12,4.9,5.4,3.8
2023-04-13,5.3,9.4,3.1
2023-04-15,9.9,11.9,8.2
2023-04-16,7.9,15.1,5.3
2023-04-17,7,7.6,5.6
2023-04-25,9.1,9,7.7
2023-04-26,7.4,6.5,6.3
2023-04-27,5.2,8.6,3.2
2023-04-28,9.1,6.1,8.4
2023-04-29,9.9,15.5,7.7
2023-04-30,7.9,9.4,6.2
